,building_blocks
999,NCc1cnn(Cc2ccccc2)c1
1000,Nc1c2c(cc3c1CCC3)CCC2
1001,Nc1c2ccccc2nc2ccccc12
1002,Nc1cc(-c2cccc(Br)c2)no1
1003,Nc1cc(-c2ccccc2)[nH]n1
1004,Nc1cc(Br)ccn1
1005,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
1006,Nc1cc(C(F)(F)F)cnc1Cl
1007,Nc1cc(CO)ccn1
1008,Nc1cc(Cl)c([N+](=O)[O-])cn1
1009,Nc1cc(Cl)cnc1Cl
1010,Nc1cc(F)cc(F)c1
1011,Nc1cc(F)cc(F)c1[N+](=O)[O-]
1012,Nc1ccc(Br)c(F)n1
1013,Nc1ccc(CC2COC(=O)N2)cc1
1014,Nc1ccc(Cl)cn1
1015,Nc1ccc(Cl)nc1
1016,Nc1ccc(F)cc1CO
1017,Nc1ccc(F)cc1Cl
1018,Nc1ccc(N2CCC=C(N3CCOCC3)C2=O)cc1
1019,Nc1ccc(N2CCOCC2)cc1
1020,Nc1ccc(N2CCOCC2=O)cc1
1021,Nc1ccc(OC(F)F)cc1
1022,Nc1ccc2c(c1)C(=O)CCC2
1023,Nc1ccc2c(c1)CCC2=O
1024,Nc1ccc2c(c1)CNCC2
1025,Nc1ccc2c(c1)COC2=O
1026,Nc1ccc2cn[nH]c2c1
1027,Nc1ccc2ncoc2c1
1028,Nc1cccc(OC(F)F)c1
1029,Nc1cccc2[nH]ccc12
1030,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
1031,Nc1cccc2ncccc12
1032,Nc1cccc2ocnc12
1033,Cc1ccsc1CN
1034,Cc1cnc(CN)s1
1035,Cc1nc(CN)sc1C
1036,Cl.NCCC(=O)NCc1ccccc1
1037,Cl.NCc1cc(Br)no1
1038,Cn1ccc(N)n1
1039,Cn1ncc(C#N)c1N
1040,NCC(c1cccc(F)c1)N1CCOCC1
1041,NCC(c1cccs1)N1CCOCC1
1042,NCC1(c2ccc(Cl)cc2Cl)CCCC1
1043,NCC1CS(=O)(=O)c2ccccc21
1044,NCC1CSCCN1Cc1ccccc1
1045,NCCC(=O)NCc1ccncc1
1046,NCc1cc2c(s1)CCSC2
1047,NCc1ccc(CN2CCCC2=O)cc1
1048,NCc1ccsc1Br
1049,NCc1cn2cc(Cl)ccc2n1
1050,NCc1cnc(-c2ccccc2)s1
1051,NCc1cnns1
1052,NCc1nc2c(s1)CCCC2
1053,NCc1nc2c(s1)CCCCC2
1054,NCc1nc2ccccc2s1
1055,NCc1nccs1
1056,NCc1noc2c1COCC2
1057,NCc1sncc1Br
1058,Nc1cc(=O)[nH]c(=S)[nH]1
1059,Nc1cc(C2CC2)[nH]n1
1060,Nc1cccc(OCc2ccccc2)c1
1061,Nc1nc(F)nc2nc[nH]c12
1062,Nc1nc(OCc2ccccc2)c2nc[nH]c2n1
1063,Nc1ncnc2[nH]cnc12
1064,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1
1065,CC(C)(C)c1cc(N)n[nH]1
1066,CC(O)(CN)c1ccsc1
1067,CCC1=NN(Cc2ccccc2C)C(=O)C1CCN
1068,CCOC(=O)c1c[nH]nc1N
1069,CCOC(=O)c1cnn(C)c1N
1070,CCOC(=O)c1sc(N)nc1C
1071,CCSc1ccc(CN)cc1
1072,CN(C)C(CN)c1ccco1
1073,COC(=O)c1ccc2nc(N)sc2c1
1074,COC(=O)c1nc(N)sc1Br
1075,COC(=O)c1scc(C)c1N
1076,COc1nc(C)nc(N)n1
1077,CSc1nnc(CN)s1
1078,Cc1cc2cc(CN)ccc2[nH]1
1079,Cc1ccc(CN)n1C
1080,Cc1ccc(CN)nc1C.Cl.Cl
1081,Cc1cccc(CCCN)n1
1082,C=CCC(CC=C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
1083,CC(=O)c1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
1084,CC(C)(C)OC(=O)N1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C(=O)O)C1
1085,CCC(C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
1086,COc1cc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c(OC)c1
1087,Cc1cc(Br)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1
1088,Cc1cc(Br)cc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
1089,N#Cc1ccc(C[C@H](CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1
1090,O=C(NC1(C(=O)O)CCCC1)OCC1c2ccccc2-c2ccccc21
1091,O=C(NC1(C(=O)O)CCCCC1)OCC1c2ccccc2-c2ccccc21
1092,O=C(N[C@@H]1CC[C@H](C(=O)O)C1)OCC1c2ccccc2-c2ccccc21
1093,O=C(N[C@H](C(=O)O)c1ccsc1)OCC1c2ccccc2-c2ccccc21
1094,O=C(N[C@H]1CC[C@H](C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21
1095,O=C(Nc1c(C(=O)O)sc2ncccc12)OCC1c2ccccc2-c2ccccc21
1096,O=C(Nc1cc(Br)c(Cl)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1097,O=C(Nc1cc(C(=O)O)ccc1C(F)(F)F)OCC1c2ccccc2-c2ccccc21
1098,O=C(Nc1cc(F)c(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1099,O=C(Nc1ccc(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1100,O=C(Nc1ccc(C(=O)O)cn1)OCC1c2ccccc2-c2ccccc21
1101,O=C(Nc1ccc(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1102,O=C(Nc1cccc(Cl)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
1103,O=C(Nc1ccccc1C(=O)c1ccccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1104,O=C(Nc1cnc(Cl)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1105,O=C(Nc1nc(C(F)(F)F)c(C(=O)O)s1)OCC1c2ccccc2-c2ccccc21
1106,O=C(O)C1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1107,O=C(O)COc1cccc(-c2csc(NC(=O)OCC3c4ccccc4-c4ccccc43)n2)c1
1108,O=C(O)C[C@@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
1109,O=C(O)C[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1110,O=C(O)C[C@H](Cc1ccc(C(F)(F)F)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
1111,O=C(O)C[C@H](Cc1ccc(I)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
1112,O=C(O)C[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
1113,O=C(O)C[C@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1114,O=C(O)[C@H]1COCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1115,C=CC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
1116,CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
1117,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](CC1CCCCC1)C(=O)O
1118,Cc1cc(Br)c(C(=O)O)cc1NC(=O)OCC1c2ccccc2-c2ccccc21
1119,N#Cc1ccc(C[C@@H](CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1
1120,O=C(NC(CC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21
1121,O=C(NC1(C(=O)O)CCC1)OCC1c2ccccc2-c2ccccc21
1122,O=C(NCc1cccc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
1123,O=C(Nc1c(Br)cc(C(=O)O)cc1Br)OCC1c2ccccc2-c2ccccc21
1124,O=C(Nc1ccc(C(=O)O)c(C(F)(F)F)c1)OCC1c2ccccc2-c2ccccc21
1125,O=C(Nc1ccc(C(F)(F)F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1126,O=C(Nc1cccc(I)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
1127,O=C(Nc1ccnc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
1128,O=C(Nc1nc(-c2ccc(C(=O)O)cc2)cs1)OCC1c2ccccc2-c2ccccc21
1129,O=C(Nc1nc(Cl)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1130,O=C(Nc1ncc(Br)nc1C(=O)O)OCC1c2ccccc2-c2ccccc21
1131,O=C(O)CC1(NC(=O)OCC2c3ccccc3-c3ccccc32)CCCCC1
1132,O=C(O)C[C@H](Cc1cccs1)NC(=O)OCC1c2ccccc2-c2ccccc21
1133,O=C(O)[C@H]1CCCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1134,CS(=O)(=O)c1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1
1135,Cc1c(Br)ccc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
1136,Cn1cc(C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)c2ccccc21
1137,O=C(NC1(C(=O)O)CCOCC1)OCC1c2ccccc2-c2ccccc21
1138,O=C(N[C@@H](Cc1cc(F)c(F)c(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
1139,O=C(N[C@H](CCC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21
1140,O=C(N[C@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
1141,O=C(Nc1c(F)ccc(Br)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
1142,O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(F)cc1
1143,O=C(O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
1144,O=C(O)[C@@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc21
